Cell	Cell_type
C_1008	Antigen presenting cell (RPS high)
C_1009	Monocyte
C_1010	Sinusoidal endothelial cell
C_1011	Monocyte
C_1012	Sinusoidal endothelial cell
C_1013	Sinusoidal endothelial cell
C_1014	Monocyte
C_1015	Monocyte
C_1016	Sinusoidal endothelial cell
C_1017	Neutrophil
C_1018	Sinusoidal endothelial cell
C_1019	Neutrophil
C_1020	Sinusoidal endothelial cell
C_1021	Sinusoidal endothelial cell
C_1022	Neutrophil
C_1023	Sinusoidal endothelial cell
C_1024	Neutrophil
C_1025	Sinusoidal endothelial cell
C_1026	Sinusoidal endothelial cell
C_1027	Sinusoidal endothelial cell
C_1028	Sinusoidal endothelial cell
C_1029	Neutrophil
C_1030	Neutrophil
C_1031	Neutrophil
C_1032	Sinusoidal endothelial cell
C_1033	Neutrophil
C_1034	Sinusoidal endothelial cell
C_1035	Sinusoidal endothelial cell
C_1036	Sinusoidal endothelial cell
C_1037	Neutrophil
C_1038	Sinusoidal endothelial cell
C_1039	Sinusoidal endothelial cell
C_1040	Sinusoidal endothelial cell
C_1041	Neutrophil
C_1042	Sinusoidal endothelial cell
C_1043	Neutrophil
C_1044	Neutrophil
C_1045	Neutrophil
C_1046	Monocyte
C_1047	Sinusoidal endothelial cell
C_1048	Monocyte
C_1049	Neutrophil
C_1050	Sinusoidal endothelial cell
C_1051	Neutrophil
C_1052	Sinusoidal endothelial cell
C_1053	Sinusoidal endothelial cell
C_1054	Sinusoidal endothelial cell
C_1055	Neutrophil
C_1056	Neutrophil
C_1057	Sinusoidal endothelial cell
C_1058	Neutrophil
C_1059	Sinusoidal endothelial cell
C_1060	Sinusoidal endothelial cell
C_1061	Neutrophil
C_1062	Sinusoidal endothelial cell
C_1063	Sinusoidal endothelial cell
C_1064	Neutrophil
C_1065	Neutrophil
C_1066	Sinusoidal endothelial cell
C_1067	Sinusoidal endothelial cell
C_1068	Sinusoidal endothelial cell
C_1069	Neutrophil
C_1070	Sinusoidal endothelial cell
C_1071	Neutrophil
C_1072	Sinusoidal endothelial cell
C_1073	Sinusoidal endothelial cell
C_1074	Sinusoidal endothelial cell
C_1075	Neutrophil
C_1076	Neutrophil
C_1077	Sinusoidal endothelial cell
C_1078	Neutrophil
C_1079	Sinusoidal endothelial cell
C_1080	Sinusoidal endothelial cell
C_1081	Sinusoidal endothelial cell
C_1082	Sinusoidal endothelial cell
C_1083	Sinusoidal endothelial cell
C_1084	Sinusoidal endothelial cell
C_1085	Sinusoidal endothelial cell
C_1086	Neutrophil
C_1087	Sinusoidal endothelial cell
C_1088	Sinusoidal endothelial cell
C_1089	Sinusoidal endothelial cell
C_1090	Neutrophil
C_1091	Neutrophil
C_1092	Neutrophil
C_1093	Sinusoidal endothelial cell
C_1094	Neutrophil
C_1095	Sinusoidal endothelial cell
C_1096	Sinusoidal endothelial cell
C_1097	Monocyte
C_1098	Neutrophil
C_1099	T cell
C_1100	Neutrophil
C_1101	T cell
C_1102	Neutrophil
C_1103	Sinusoidal endothelial cell
C_1104	Neutrophil
C_1105	Monocyte
C_1106	Monocyte
C_1107	Neutrophil
C_1108	Sinusoidal endothelial cell
C_1109	Sinusoidal endothelial cell
C_1110	Neutrophil
C_1111	Neutrophil
C_1112	Monocyte
C_1113	Neutrophil
C_1114	Sinusoidal endothelial cell
C_1115	Neutrophil
C_1116	Sinusoidal endothelial cell
C_1117	Neutrophil
C_1118	Sinusoidal endothelial cell
C_1119	Sinusoidal endothelial cell
C_1120	Sinusoidal endothelial cell
C_1121	Monocyte
C_1122	Monocyte
C_1123	Sinusoidal endothelial cell
C_1124	Neutrophil
C_1125	Sinusoidal endothelial cell
C_1126	Sinusoidal endothelial cell
C_1127	Neutrophil
C_1128	Sinusoidal endothelial cell
C_1129	Sinusoidal endothelial cell
C_1130	Sinusoidal endothelial cell
C_1131	Sinusoidal endothelial cell
C_1132	Neutrophil
C_1133	Sinusoidal endothelial cell
C_1134	Neutrophil
C_1135	Sinusoidal endothelial cell
C_1136	Sinusoidal endothelial cell
C_1137	Sinusoidal endothelial cell
C_1138	Monocyte
C_1139	Monocyte
C_1140	Sinusoidal endothelial cell
C_1141	Sinusoidal endothelial cell
C_1142	Sinusoidal endothelial cell
C_1143	Sinusoidal endothelial cell
C_1144	Monocyte
C_1145	Sinusoidal endothelial cell
C_1146	Sinusoidal endothelial cell
C_1147	Dendritic cell
C_1148	Macrophage
C_1149	Macrophage
C_1150	Monocyte
C_1151	Macrophage
C_1152	Dendritic cell
C_1153	Dendritic cell
C_1154	Macrophage
C_1155	Sinusoidal endothelial cell
C_1156	Monocyte
C_1157	Dendritic cell
C_1158	Dendritic cell
C_1159	Dendritic cell
C_1160	Sinusoidal endothelial cell
C_1161	Macrophage
C_1162	Macrophage
C_1163	Monocyte
C_1164	Dendritic cell
C_1165	Dendritic cell
C_1166	Sinusoidal endothelial cell
C_1167	Macrophage
C_1168	Sinusoidal endothelial cell
C_1169	Sinusoidal endothelial cell
C_1170	Dendritic cell
C_1171	Dendritic cell
C_1172	Dendritic cell
C_1173	Dendritic cell
C_1174	Sinusoidal endothelial cell
C_1175	Monocyte
C_1176	Antigen presenting cell (RPS high)
C_1177	Monocyte
C_1178	Dendritic cell
C_1179	Dendritic cell
C_1180	Dendritic cell
C_1181	Monocyte
C_1182	Sinusoidal endothelial cell
C_1183	Dendritic cell
C_1184	B cell
C_1185	B cell
C_1186	Sinusoidal endothelial cell
C_1187	Dendritic cell
C_1188	Dendritic cell
C_1189	Dendritic cell
C_1190	Dendritic cell
C_1191	Dendritic cell
C_1192	Dendritic cell
C_1193	Monocyte
C_1194	Dendritic cell
C_1195	Dendritic cell
C_1196	Monocyte
C_1197	Dendritic cell
C_1198	Dendritic cell
C_1199	Sinusoidal endothelial cell
C_1200	Dendritic cell
C_1201	Monocyte
C_1202	Monocyte
C_1203	Monocyte
C_1204	Monocyte
C_1205	Dendritic cell
C_1206	Dendritic cell
C_1207	Monocyte
C_1208	Monocyte
C_1209	Sinusoidal endothelial cell
C_1210	Sinusoidal endothelial cell
C_1211	Dendritic cell
C_1212	Macrophage
C_1213	Dendritic cell
C_1214	Monocyte
C_1215	Monocyte
C_1216	Dendritic cell
C_1217	Monocyte
C_1218	B cell
C_1219	Dendritic cell
C_1220	B cell
C_1221	Dendritic cell
C_1222	Dendritic cell
C_1223	Dendritic cell
C_1224	Dendritic cell
C_1225	Macrophage
C_1226	Monocyte
C_1227	Dendritic cell
C_1228	Dendritic cell
C_1229	Dendritic cell
C_1230	Macrophage
C_1231	Dendritic cell
C_1232	Dendritic cell
C_1233	Dendritic cell
C_1234	Macrophage
C_1235	Sinusoidal endothelial cell
C_1236	Macrophage
C_1237	Dendritic cell
C_1238	Dendritic cell
C_1239	Monocyte
C_1240	Dendritic cell
C_1241	Dendritic cell
C_1242	Dendritic cell
C_1243	Macrophage
C_1244	Dendritic cell
C_1245	Dendritic cell
C_1246	Dendritic cell
C_1247	Sinusoidal endothelial cell
C_1248	Sinusoidal endothelial cell
C_1249	Sinusoidal endothelial cell
C_1250	Sinusoidal endothelial cell
C_1251	Sinusoidal endothelial cell
C_1252	Sinusoidal endothelial cell
C_1253	Sinusoidal endothelial cell
C_1254	Sinusoidal endothelial cell
C_1255	Sinusoidal endothelial cell
C_1256	Sinusoidal endothelial cell
C_1257	Sinusoidal endothelial cell
C_1258	Sinusoidal endothelial cell
C_1259	Sinusoidal endothelial cell
C_1260	Sinusoidal endothelial cell
C_1261	Sinusoidal endothelial cell
C_1262	Sinusoidal endothelial cell
C_1263	Sinusoidal endothelial cell
C_1264	Sinusoidal endothelial cell
C_1265	Sinusoidal endothelial cell
C_1266	Sinusoidal endothelial cell
C_1267	Sinusoidal endothelial cell
C_1268	Sinusoidal endothelial cell
C_1269	Sinusoidal endothelial cell
C_1270	Sinusoidal endothelial cell
C_1271	Sinusoidal endothelial cell
C_1272	Sinusoidal endothelial cell
C_1273	Sinusoidal endothelial cell
C_1274	Sinusoidal endothelial cell
C_1275	Sinusoidal endothelial cell
C_1276	Sinusoidal endothelial cell
C_1277	Sinusoidal endothelial cell
C_1278	Sinusoidal endothelial cell
C_1279	Sinusoidal endothelial cell
C_1280	Sinusoidal endothelial cell
C_1281	Sinusoidal endothelial cell
C_1282	Sinusoidal endothelial cell
C_1283	Sinusoidal endothelial cell
C_1284	Sinusoidal endothelial cell
C_1285	Sinusoidal endothelial cell
C_1286	Sinusoidal endothelial cell
C_1287	Sinusoidal endothelial cell
C_1288	Sinusoidal endothelial cell
C_1289	Sinusoidal endothelial cell
C_1290	Sinusoidal endothelial cell
C_1291	Sinusoidal endothelial cell
C_1292	Sinusoidal endothelial cell
C_1293	Sinusoidal endothelial cell
C_1294	Sinusoidal endothelial cell
C_1295	Sinusoidal endothelial cell
C_1296	Sinusoidal endothelial cell
C_1297	Sinusoidal endothelial cell
C_1298	Sinusoidal endothelial cell
C_1299	Sinusoidal endothelial cell
C_1300	Sinusoidal endothelial cell
C_1301	Sinusoidal endothelial cell
C_1302	Sinusoidal endothelial cell
C_1303	Sinusoidal endothelial cell
C_1304	Sinusoidal endothelial cell
C_1305	Sinusoidal endothelial cell
C_1306	Sinusoidal endothelial cell
C_1307	Sinusoidal endothelial cell
C_1308	Sinusoidal endothelial cell
C_1309	Sinusoidal endothelial cell
C_1310	Sinusoidal endothelial cell
C_1311	Sinusoidal endothelial cell
C_1312	Sinusoidal endothelial cell
C_1313	Sinusoidal endothelial cell
C_1314	Sinusoidal endothelial cell
C_1315	Sinusoidal endothelial cell
C_1316	Sinusoidal endothelial cell
C_1317	Sinusoidal endothelial cell
C_1318	Sinusoidal endothelial cell
C_1319	Sinusoidal endothelial cell
C_1320	Sinusoidal endothelial cell
C_1321	Sinusoidal endothelial cell
C_1322	Sinusoidal endothelial cell
C_1323	Sinusoidal endothelial cell
C_1324	Sinusoidal endothelial cell
C_1325	Sinusoidal endothelial cell
C_1326	Sinusoidal endothelial cell
C_1327	Sinusoidal endothelial cell
C_1328	Sinusoidal endothelial cell
C_1329	Sinusoidal endothelial cell
C_1330	Sinusoidal endothelial cell
C_1331	Sinusoidal endothelial cell
C_1332	Sinusoidal endothelial cell
C_1333	Sinusoidal endothelial cell
C_1334	Sinusoidal endothelial cell
C_1335	Sinusoidal endothelial cell
C_1336	Sinusoidal endothelial cell
C_1337	Sinusoidal endothelial cell
C_1338	Sinusoidal endothelial cell
C_1339	Sinusoidal endothelial cell
C_1340	Sinusoidal endothelial cell
C_1341	Sinusoidal endothelial cell
C_1342	Sinusoidal endothelial cell
C_1343	Sinusoidal endothelial cell
C_1344	Sinusoidal endothelial cell
C_1345	Sinusoidal endothelial cell
C_1346	B cell (Plasmocyte)
C_1347	B cell (Plasmocyte)
C_1348	Sinusoidal endothelial cell
C_1349	Endothelial cell (APC)
C_1350	Neutrophil
C_1351	Sinusoidal endothelial cell
C_1352	Sinusoidal endothelial cell
C_1353	Endothelial cell (APC)
C_1354	Sinusoidal endothelial cell
C_1355	Sinusoidal endothelial cell
C_1356	Macrophage
C_1357	Sinusoidal endothelial cell
C_1358	Sinusoidal endothelial cell
C_1359	Sinusoidal endothelial cell
C_1360	Sinusoidal endothelial cell
C_1361	Endothelial cell (APC)
C_1362	Sinusoidal endothelial cell
C_1363	Smooth muscle cell
C_1364	Sinusoidal endothelial cell
C_1365	Sinusoidal endothelial cell
C_1366	Endothelial cell
C_1367	Sinusoidal endothelial cell
C_1368	Endothelial cell (APC)
C_1369	Sinusoidal endothelial cell
C_1370	Sinusoidal endothelial cell
C_1371	Fetal epithelial progenitor
C_1372	Sinusoidal endothelial cell
C_1373	Sinusoidal endothelial cell
C_1374	Sinusoidal endothelial cell
C_1375	Sinusoidal endothelial cell
C_1376	Sinusoidal endothelial cell
C_1377	Sinusoidal endothelial cell
C_1378	Sinusoidal endothelial cell
C_1379	Sinusoidal endothelial cell
C_1380	Macrophage
C_1381	Sinusoidal endothelial cell
C_1382	Sinusoidal endothelial cell
C_1383	Endothelial cell
C_1384	Sinusoidal endothelial cell
C_1385	Sinusoidal endothelial cell
C_1386	Sinusoidal endothelial cell
C_1387	Endothelial cell (APC)
C_1388	Sinusoidal endothelial cell
C_1389	Endothelial cell
C_1390	Endothelial cell (APC)
C_1391	Endothelial cell
C_1392	Sinusoidal endothelial cell
C_1393	Sinusoidal endothelial cell
C_1394	Endothelial cell (APC)
C_1395	Endothelial cell (APC)
C_1396	Endothelial cell (APC)
C_1397	T cell
C_1398	Sinusoidal endothelial cell
C_1399	Sinusoidal endothelial cell
C_1400	Sinusoidal endothelial cell
C_1401	Sinusoidal endothelial cell
C_1402	Sinusoidal endothelial cell
C_1403	Sinusoidal endothelial cell
C_1404	Sinusoidal endothelial cell
C_1405	Sinusoidal endothelial cell
C_1406	Sinusoidal endothelial cell
C_1407	Monocyte
C_1408	Sinusoidal endothelial cell
C_1409	Sinusoidal endothelial cell
C_1410	Sinusoidal endothelial cell
C_1411	Sinusoidal endothelial cell
C_1412	Sinusoidal endothelial cell
C_1413	Sinusoidal endothelial cell
C_1414	Endothelial cell (APC)
C_1415	Sinusoidal endothelial cell
C_1416	Sinusoidal endothelial cell
C_1417	Endothelial cell
C_1418	Sinusoidal endothelial cell
C_1419	Sinusoidal endothelial cell
C_1420	Endothelial cell (APC)
C_1421	Endothelial cell
C_1422	Sinusoidal endothelial cell
C_1423	B cell
C_1424	Sinusoidal endothelial cell
C_1425	Sinusoidal endothelial cell
C_1426	Sinusoidal endothelial cell
C_1427	Endothelial cell (APC)
C_1428	Sinusoidal endothelial cell
C_1429	Sinusoidal endothelial cell
C_1430	Erythroid progenitor cell (RP high)
C_1431	Endothelial cell
C_1432	Sinusoidal endothelial cell
C_1433	Endothelial cell
C_1434	Sinusoidal endothelial cell
C_1435	Sinusoidal endothelial cell
C_1436	Endothelial cell (APC)
C_1437	T cell
C_1438	Endothelial cell
C_1439	Sinusoidal endothelial cell
C_1440	Sinusoidal endothelial cell
C_1441	Neutrophil
C_1442	Neutrophil
C_1443	Neutrophil
C_1444	Neutrophil
C_1445	Neutrophil
C_1446	Neutrophil
C_1447	Neutrophil
C_1448	Neutrophil
C_1449	Neutrophil
C_1450	Neutrophil
C_1451	Neutrophil
C_1452	Neutrophil
C_1453	Neutrophil
C_1454	Neutrophil
C_1455	Neutrophil
C_1456	Neutrophil
C_1457	Neutrophil
C_1458	Neutrophil
C_1459	Neutrophil
C_1460	Neutrophil
C_1461	Neutrophil
C_1462	Neutrophil
C_1463	Neutrophil
C_1464	Neutrophil
C_1465	Neutrophil
C_1466	Neutrophil
C_1467	Neutrophil
C_1468	Neutrophil
C_1469	Neutrophil
C_1470	Neutrophil
C_1471	Neutrophil
C_1472	Neutrophil
C_1473	Neutrophil
C_1474	Neutrophil
C_1475	Neutrophil
C_1476	Neutrophil
C_1477	Neutrophil
C_1478	Neutrophil
C_1479	Neutrophil
C_1480	Neutrophil
C_1481	Neutrophil
C_1482	Neutrophil
C_1483	Neutrophil
C_1484	Neutrophil
C_1485	Neutrophil
C_1486	Neutrophil
C_1487	Neutrophil
C_1488	Neutrophil
C_1489	Neutrophil
C_1490	Neutrophil
C_1491	Neutrophil
C_1492	Neutrophil
C_1493	Neutrophil
C_1494	Neutrophil
C_1495	Neutrophil
C_1496	Neutrophil
C_1497	Neutrophil
C_1498	Sinusoidal endothelial cell
C_1499	Neutrophil
C_1500	Neutrophil
C_1501	Neutrophil
C_1502	Neutrophil
C_1503	Neutrophil
C_1504	Neutrophil
C_1505	Neutrophil
C_1506	Neutrophil
C_1507	Neutrophil
C_1508	Neutrophil
C_1509	Neutrophil
C_1510	Neutrophil
C_1511	Neutrophil
C_1512	Neutrophil
C_1513	Neutrophil
C_1514	Neutrophil
C_1515	Neutrophil
C_1516	Neutrophil
C_1517	Neutrophil
C_1518	Neutrophil
C_1519	Neutrophil
C_1520	Neutrophil
C_1521	Macrophage
C_1522	Macrophage
C_1523	Dendritic cell
C_1524	Macrophage
C_1525	Macrophage
C_1526	Dendritic cell
C_1527	Macrophage
C_1528	Macrophage
C_1529	Dendritic cell
C_1530	Dendritic cell
C_1531	Macrophage
C_1532	Macrophage
C_1533	Dendritic cell
C_1534	Macrophage
C_1535	Macrophage
C_1536	Dendritic cell
C_1537	Dendritic cell
C_1538	Macrophage
C_1539	Macrophage
C_1540	Dendritic cell
C_1541	Dendritic cell
C_1542	Dendritic cell
C_1543	Macrophage
C_1544	Dendritic cell
C_1545	Macrophage
C_1546	Macrophage
C_1547	Macrophage
C_1548	Dendritic cell
C_1549	Dendritic cell
C_1550	Dendritic cell
C_1551	Macrophage
C_1552	Macrophage
C_1553	Dendritic cell
C_1554	Macrophage
C_1555	Dendritic cell
C_1556	Dendritic cell
C_1557	Macrophage
C_1558	Sinusoidal endothelial cell
C_1559	Dendritic cell
C_1560	Sinusoidal endothelial cell
C_1561	Dendritic cell
C_1562	Macrophage
C_1563	Dendritic cell
C_1564	Macrophage
C_1565	Dendritic cell
C_1566	Dendritic cell
C_1567	Sinusoidal endothelial cell
C_1568	Dendritic cell
C_1569	Macrophage
C_1570	Macrophage
C_1571	Dendritic cell
C_1572	Dendritic cell
C_1573	Dendritic cell
C_1574	Sinusoidal endothelial cell
C_1575	Macrophage
C_1576	Sinusoidal endothelial cell
C_1577	Macrophage
C_1578	Macrophage
C_1579	Sinusoidal endothelial cell
C_1580	Monocyte
C_1581	Dendritic cell
C_1582	Macrophage
C_1583	Macrophage
C_1584	Dendritic cell
C_1585	Sinusoidal endothelial cell
C_1586	Macrophage
C_1587	Macrophage
C_1588	Dendritic cell
C_1589	Dendritic cell
C_1590	Macrophage
C_1591	Neutrophil
C_1592	Macrophage
C_1593	Macrophage
C_1594	Neutrophil
C_1595	Neutrophil
C_1596	Neutrophil
C_1597	Neutrophil
C_1598	Neutrophil
C_1599	Neutrophil
C_1600	Neutrophil
C_1601	Neutrophil
C_1602	Neutrophil
C_1603	Neutrophil
C_1604	Neutrophil
C_1605	Neutrophil
C_1606	Neutrophil
C_1607	Neutrophil
C_1608	Neutrophil
C_1609	Neutrophil
C_1610	Neutrophil
C_1611	Neutrophil
C_1612	Neutrophil
C_1613	Neutrophil
C_1614	Neutrophil
C_1615	Neutrophil
C_1616	Neutrophil
C_1617	Neutrophil
C_1618	Neutrophil
C_1619	Neutrophil
C_1620	Neutrophil
C_1621	Neutrophil
C_1622	Neutrophil
C_1623	Neutrophil
C_1624	Neutrophil
C_1625	Neutrophil
C_1626	Neutrophil
C_1627	Neutrophil
C_1628	Neutrophil
C_1629	Neutrophil
C_1630	Neutrophil
C_1631	Neutrophil
C_1632	Neutrophil
C_1633	Neutrophil
C_1634	Neutrophil
C_1635	Neutrophil
C_1636	Neutrophil
C_1637	Neutrophil
C_1638	Neutrophil
C_1639	Neutrophil
C_1640	Neutrophil
C_1641	Neutrophil
C_1642	Neutrophil
C_1643	Neutrophil
C_1644	Neutrophil
C_1645	Neutrophil
C_1646	Neutrophil
C_1647	Neutrophil
C_1648	Neutrophil
C_1649	Neutrophil
C_1650	Neutrophil
C_1651	Macrophage
C_1652	Macrophage
C_1653	Macrophage
C_1654	Macrophage
C_1655	Macrophage
C_1656	Macrophage
C_1657	Macrophage
C_1658	Macrophage
C_1659	Macrophage
C_1660	Macrophage
C_1661	Macrophage
C_1662	Macrophage
C_1663	Macrophage
C_1664	Macrophage
C_1665	Macrophage
C_1666	Macrophage
C_1667	Macrophage
C_1668	Macrophage
C_1669	Dendritic cell
C_1670	Macrophage
C_1671	Macrophage
C_1672	Macrophage
C_1673	Macrophage
C_1674	Macrophage
C_1675	Macrophage
C_1676	Macrophage
C_1677	Macrophage
C_1678	Macrophage
C_1679	Macrophage
C_1680	Macrophage
C_1681	Macrophage
C_1682	Macrophage
C_1683	Macrophage
C_1684	Macrophage
C_1685	Macrophage
C_1686	Macrophage
C_1687	Macrophage
C_1688	Macrophage
C_1689	Macrophage
C_1690	Macrophage
C_1691	Macrophage
C_1692	Macrophage
C_1693	Macrophage
C_1694	Macrophage
C_1695	Macrophage
C_1696	Macrophage
C_1697	Macrophage
C_1698	Sinusoidal endothelial cell
C_1699	Sinusoidal endothelial cell
C_1700	Sinusoidal endothelial cell
C_1701	Sinusoidal endothelial cell
C_1702	Sinusoidal endothelial cell
C_1703	Sinusoidal endothelial cell
C_1704	Sinusoidal endothelial cell
C_1705	Sinusoidal endothelial cell
C_1706	Sinusoidal endothelial cell
C_1707	Sinusoidal endothelial cell
C_1708	Sinusoidal endothelial cell
C_1709	Sinusoidal endothelial cell
C_1710	Sinusoidal endothelial cell
C_1711	Sinusoidal endothelial cell
C_1712	Sinusoidal endothelial cell
C_1713	Sinusoidal endothelial cell
C_1714	Sinusoidal endothelial cell
C_1715	Sinusoidal endothelial cell
C_1716	Sinusoidal endothelial cell
C_1717	Neutrophil
C_1718	Sinusoidal endothelial cell
C_1719	Sinusoidal endothelial cell
C_1720	Macrophage
C_1721	Sinusoidal endothelial cell
C_1722	Sinusoidal endothelial cell
C_1723	Monocyte
C_1724	Sinusoidal endothelial cell
C_1725	Sinusoidal endothelial cell
C_1726	Sinusoidal endothelial cell
C_1727	Sinusoidal endothelial cell
C_1728	Sinusoidal endothelial cell
C_1729	Sinusoidal endothelial cell
C_1730	Sinusoidal endothelial cell
C_1731	Sinusoidal endothelial cell
C_1732	Sinusoidal endothelial cell
C_1733	Sinusoidal endothelial cell
C_1734	Sinusoidal endothelial cell
C_1735	Sinusoidal endothelial cell
C_1736	Sinusoidal endothelial cell
C_1737	Sinusoidal endothelial cell
C_1738	Sinusoidal endothelial cell
C_1739	Sinusoidal endothelial cell
C_1740	Neutrophil
C_1741	Neutrophil
C_1742	Neutrophil
C_1743	Neutrophil
C_1744	Neutrophil
C_1745	Neutrophil
C_1746	Neutrophil
C_1747	Neutrophil
C_1748	Neutrophil
C_1749	Neutrophil
C_1750	Neutrophil
C_1751	Neutrophil
C_1752	Neutrophil
C_1753	Neutrophil
C_1754	Neutrophil
C_1755	Neutrophil
C_1756	Neutrophil
C_1757	Neutrophil
C_1758	Neutrophil
C_1759	Neutrophil
C_1760	Neutrophil
C_1761	Neutrophil
C_1762	Neutrophil
C_1763	Neutrophil
C_1764	Neutrophil
C_1765	Neutrophil
C_1766	Neutrophil
C_1767	Neutrophil
C_1768	Neutrophil
C_1769	Neutrophil
C_1770	Neutrophil
C_1771	Neutrophil
C_1772	Neutrophil
C_1773	Neutrophil
C_1774	Neutrophil
C_1775	Neutrophil
C_1776	Neutrophil
C_1777	Neutrophil
C_1778	Sinusoidal endothelial cell
C_1779	Sinusoidal endothelial cell
C_1780	Sinusoidal endothelial cell
C_1781	Sinusoidal endothelial cell
C_1782	Sinusoidal endothelial cell
C_1783	Sinusoidal endothelial cell
C_1784	Sinusoidal endothelial cell
C_1785	Sinusoidal endothelial cell
C_1786	Enterocyte progenitor
C_1787	Sinusoidal endothelial cell
C_1788	Sinusoidal endothelial cell
C_1789	Enterocyte progenitor
C_1790	Sinusoidal endothelial cell
C_1791	Sinusoidal endothelial cell
C_1792	Sinusoidal endothelial cell
C_1793	Sinusoidal endothelial cell
C_1794	Sinusoidal endothelial cell
C_1795	Sinusoidal endothelial cell
C_1796	Sinusoidal endothelial cell
C_1797	Sinusoidal endothelial cell
C_1798	Sinusoidal endothelial cell
C_1799	Enterocyte progenitor
C_1800	Sinusoidal endothelial cell
C_1801	Mast cell
C_1802	Mast cell
C_1803	Mast cell
C_1804	Mast cell
C_1805	T cell
C_1806	Mast cell
C_1807	Mast cell
C_1808	Mast cell
C_1809	Mast cell
C_1810	Dendritic cell
C_1811	Mast cell
